mean;1
19612.2;286.7524061
18725.63791;283.0492167
18160.478;305.1851124
17936.66522;368.6292104
17651.44104;2397.303559
17466.00304;1103.78768
17513.64635;797.7169709
17013.1307;592.5569874
19967.40574;378.4920821
23381.3287;386.3889553
25176.83478;623.0439704
23979.53887;475.2623381
22210.73704;293.6404702
22187.76;272.8533759
21401.46913;293.7411997
26768.29239;334.4760651
22923.21687;409.4986272
26828.75661;384.1614232
26228.34835;306.7345618
22918.82;389.9062018
21096.98783;461.8160544
19177.09835;474.4542609
19507.32522;460.2495079
20734.659;476.5909767
