mean;1
8385.037;1840.6108878979492
7572.357;1884.8294307250042
6829.254;1970.156687501312
6278.161;2071.5347174057297
5786.572;2093.090594451261
5371.279;2023.098656831679
5072.841;1985.6570098772395
4788.139;1984.6038262821646
4491.869;1956.1150981601872
4134.068;1887.3962257204525
3721.906;1818.0135883059158
3329.476;1777.0758989813119
2915.982;1751.426810258792
2538.507;1726.9012636407858
2268.201;1696.5800043506852
2160.239;1679.5535013695778
2227.43;1768.477868452012
2349.004;1902.803247436779
2503.082;1989.5241494631202
2732.228;2037.7691847445055
3020.842;2056.59157697888
3329.442;2034.3322644099428
3725.095;1960.3980952000297
4185.575;1858.9517001287247
