sep=;
dias;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total
25;20029.90;19157.30;18397.40;17901.90;17574.20;17518.20;17672.60;18190.20;20802.20;23573.90;24416.90;24667.40;23917.20;22058.10;23369.00;25344.40;25422.60;24788.80;24665.10;24911.80;23249.00;22051.00;21596.80;20891.10;522167.20
26;19994.90;19218.20;18560.00;17959.00;17532.40;17386.10;17215.30;17273.10;18290.50;21644.40;23055.00;23511.10;22980.20;21337.40;21754.40;23477.40;23580.70;22795.50;23232.80;23707.50;22310.90;21230.80;20703.20;19981.00;498731.90
27;19101.30;18399.30;17730.60;17179.30;16810.80;16612.40;16525.10;16620.20;17934.00;19840.70;21267.20;21361.70;21189.10;19902.40;19872.20;19952.20;20048.00;20603.50;21747.80;22540.50;21569.80;21092.70;20760.00;19969.70;468630.30
28;18998.80;18228.00;17510.30;16981.90;16645.90;16539.20;16566.40;17167.90;19973.10;22988.80;24168.40;24455.40;23552.60;22332.30;23375.30;25114.60;24738.60;24109.30;23529.60;23729.50;22424.00;21581.70;21098.20;20027.00;505836.70
29;18953.80;18140.60;17446.10;16858.10;16454.70;16409.20;16494.50;16514.00;18897.00;22038.60;23265.90;23580.90;22985.30;22282.10;23342.00;25250.20;25282.40;24497.40;23786.00;24067.80;22798.80;21754.90;21164.80;20150.10;502415.20
30;18969.10;18208.80;17590.60;17059.50;16716.60;16747.70;16770.20;17470.30;19934.80;22643.60;23849.30;24174.10;23340.90;22117.30;23186.50;25140.50;25173.50;24249.10;23830.90;24119.10;22808.70;21997.40;21343.10;20313.50;507755.20
31;19121.80;18286.40;17510.00;17097.10;16625.70;16566.80;16776.60;16273.50;18372.70;21607.00;23193.70;24266.00;23141.30;22163.10;23309.00;25295.00;25401.40;24387.40;23706.10;23645.50;22340.40;21456.80;20985.20;20217.20;501745.60
1;19132.20;18328.90;17674.30;17245.50;16883.90;16879.60;16967.30;17506.20;19837.70;22780.50;23946.60;24381.80;23633.50;22505.60;23646.70;25506.20;25349.70;24446.00;23893.50;24396.80;23268.90;22125.70;21571.80;20850.70;512759.50
2;19989.10;19264.80;18596.80;18046.80;17648.30;17372.80;17456.70;17564.20;19442.00;22840.00;23232.60;23739.20;23103.90;21572.10;22023.20;23917.80;23954.80;23153.10;23186.10;23495.20;22269.90;21265.20;21078.10;20396.70;504609.60
3;19688.70;19070.90;18538.50;17853.10;17445.30;17273.40;17278.70;17117.00;18255.80;19892.00;21091.40;21173.10;20999.50;19823.40;20085.30;20123.50;19823.70;20832.40;21675.30;22596.30;21807.10;21309.50;20896.40;20213.70;474864.10
4;19222.50;18425.10;17820.80;17350.30;17032.00;16926.40;17016.10;17615.20;20134.90;23137.10;24235.20;24603.30;23616.70;22449.30;23591.80;25493.60;25431.30;24367.90;23664.30;23964.20;22619.80;21799.20;21243.40;20257.40;512017.80
