mean,1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
62.54147154471544,68.57157040120164
1373.651906504065,578.2252802202469
3337.109890243902,1228.3620725368717
5127.441247967481,1695.3965360583568
6443.697930894303,1982.9588163729163
7219.86506910569,2155.2108982169
7431.675447154475,2233.310585750513
7094.022528455285,2210.734847796429
6237.3037723577245,2064.3764286560786
4877.146337398375,1768.43191913743
3096.859756097561,1255.827512280326
1165.5008414634156,513.5011534401084
35.74746747967481,47.34687513224861
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
