mean,1
6148.507857723578,3362.5948935196225
6159.266613821134,3381.105156119552
6203.415162601624,3396.215379321091
6290.617752032519,3399.5709327731643
6362.365500000002,3406.598176875642
6425.745016260161,3427.041933189587
6510.195439024392,3454.404830436956
6577.42226829268,3475.3062325272026
6544.159060975605,3471.6323944275546
6407.357971544717,3442.141220852088
6189.851317073171,3389.7406398482417
5889.809784552848,3324.535459876002
5547.144060975612,3258.182345987695
5239.650808943086,3199.5141693951296
5039.852666666668,3169.1949630642125
4979.312276422766,3171.9350394520275
5019.199939024393,3183.648949531577
5141.761536585367,3209.7932697904243
5323.3678536585385,3240.888427937087
5556.457414634147,3304.9101556486844
5739.550963414632,3333.8764820514257
5876.545987804878,3354.9642656587794
6005.26450406504,3365.9084680387796
6073.960142276425,3368.1893938696703
