mean;1
21524.20147;2152.420147
20870.58235;1252.234941
20225.76618;1415.803632
19669.37941;786.7751765
19256.57206;1347.960044
19012.74118;2661.783765
18653.10441;3730.620882
18994.47353;2659.226294
20136.04559;2819.046382
21695.94118;2603.512941
23024.84559;6446.956765
23270.73676;4886.854721
23167.56176;3706.809882
21676.78676;4768.893088
21774.28235;5443.570588
21613.18088;2593.581706
21725.49706;2824.314618
22708.02647;2952.043441
23568.05294;1178.402647
24403.85441;2440.385441
23534.30294;1647.401206
23071.29265;2076.416338
22794.05882;683.8217647
21785.36471;217.8536471
