D;S;W
23601.48357;9628.895;3703.671875
22858.92;9191.335422;3251.875784
22967.67674;8347.897;2892.975565
25106.81217;6700.23144;2752.99993
24576.12435;4342.186059;2892.297965
24693.44974;1765.866397;3408.11306
23634.91278;30.31324261;3699.319
24982.6;0;3927.489955
23602.25513;0;5416.881271
20744.91696;0;6096.937304
20126.30765;0;5495.39527
20288.45861;0;7332.479304
