real
0.0
0.0
0.0
0.0
0.0
0.0
89.065
2245.142
4885.563
7071.871
8500.322
9402.721
9628.895
9263.835
8347.897
6631.038
4332.767
1756.701
31.562
0.0
0.0
0.0
0.0
0.0
