real
19612.2
18799.2
18144.7
17615.0
17320.1
17204.2
17025.1
17770.3
20037.1
23021.0
24127.8
23865.4
23694.2
22701.0
23240.5
24976.5
25011.1
24312.9
24149.4
24982.6
23328.4
21987.7
21570.6
20944.1
